Season,State_Name,Crop,Production
Whole Year,Uttarakhand,Rice,600860.00
Kharif,Assam,Papaya,600334.00
Whole Year,Meghalaya,Banana,599763.00
Kharif,West Bengal,Urad,597795.00
Summer,Uttar Pradesh,Banana,597180.00
Whole Year,Karnataka,Grapes,591986.00
Kharif,Chhattisgarh,Groundnut,585074.00
Summer,Uttar Pradesh,Rice,579177.00
Whole Year,Arunachal Pradesh,Potato,578571.00
Rabi,Gujarat,Maize,577000.00
Summer,Uttar Pradesh,Maize,574065.00
Rabi,Gujarat,Tobacco,573600.00
Kharif,Meghalaya,Banana,571499.00
Whole Year,Goa,Sugarcane,570984.00
Rabi,Rajasthan,other oilseeds,569189.00
Rabi,Jharkhand,Wheat,569101.30
Whole Year,Tamil Nadu,Bajra,563452.00
Kharif,Uttar Pradesh,Oilseeds total,563081.00
Whole Year,Uttar Pradesh,Peas & beans (Pulses),560444.00
Kharif,Uttar Pradesh,Sesamum,558205.70
Kharif,Haryana,Maize,556200.00
Rabi,West Bengal,Gram,544573.00
Kharif,Andhra Pradesh,Lemon,540994.00
Kharif,Karnataka,Urad,540808.10
Rabi,West Bengal,Khesari,539616.00
Autumn,Meghalaya,Rice,525139.00
Whole Year,Uttar Pradesh,Sweet potato,524952.00
Rabi,Maharashtra,Other  Rabi pulses,519812.00
Rabi,Assam,Ginger,518074.00
Whole Year,Tripura,Potato,513785.00
Kharif,Uttarakhand,Other Cereals & Millets,512160.00
Whole Year,Tamil Nadu,Tomato,509939.00
Rabi,Karnataka,Cotton(lint),508306.00
Kharif,Tamil Nadu,Pulses total,506325.00
Whole Year,Tamil Nadu,Cashewnut,500823.00
Rabi,Bihar,Other  Rabi pulses,500448.00
Kharif,Telangana,Urad,497925.00
Kharif,Rajasthan,Other Kharif pulses,490843.00
Whole Year,Odisha,Potato,488521.80
Rabi,Bihar,Potato,488043.00
Kharif,Tamil Nadu,Sesamum,486706.00
Kharif,Nagaland,Soyabean,484190.00
Whole Year,Tamil Nadu,Dry chillies,484071.00
Whole Year,Telangana,Banana,483230.00
Kharif,Puducherry,Rice,478841.00
Whole Year,Telangana,Orange,475841.00
Kharif,Gujarat,Tobacco,470800.00
Kharif,Chhattisgarh,Urad,469138.00
Kharif,Telangana,Turmeric,468297.00
Kharif,Assam,Mesta,468192.00
Whole Year,Andhra Pradesh,Brinjal,463200.00
Rabi,Assam,Other  Rabi pulses,459291.00
Whole Year,Manipur,Banana,456661.00
Whole Year,Andhra Pradesh,Citrus Fruit,456274.00
Summer,Odisha,Paddy,453583.00
Kharif,Bihar,Potato,452453.00
Whole Year,Karnataka,Sweet potato,451284.00
Kharif,Tamil Nadu,Small millets,449224.00
Whole Year,Chhattisgarh,Potato,448294.00
Whole Year,Karnataka,Tomato,447872.00
Kharif,Andhra Pradesh,Turmeric,446506.00
Summer,Karnataka,Sunflower,444083.00
Kharif,Odisha,Maize,443033.80
Autumn,Odisha,Jute,441539.90
Kharif,Haryana,Jowar,439690.00
Summer,Karnataka,Groundnut,439526.00
Kharif,Dadra and Nagar Haveli,Rice,434657.00
Whole Year,Assam,Pineapple,433460.00
Kharif,Odisha,Arhar/Tur,433050.00
Whole Year,Assam,Dry ginger,431432.00
Whole Year,Chhattisgarh,Onion,425297.00
Kharif,Tamil Nadu,Onion,421614.00
Kharif,Tamil Nadu,Arhar/Tur,421335.10
Rabi,Bihar,Linseed,415119.00
Kharif,Andhra Pradesh,Tapioca,408920.00
Whole Year,Andhra Pradesh,Cashewnut,408463.00
Summer,Uttar Pradesh,Urad,402522.00
Kharif,Madhya Pradesh,Sesamum,399256.00
Kharif,Andhra Pradesh,Moong(Green Gram),395615.00
Kharif,Chhattisgarh,Arhar/Tur,394922.00
Rabi,Uttarakhand,Barley,391260.00
Whole Year,Telangana,Soyabean,390328.00
Summer,Uttar Pradesh,Moong(Green Gram),389545.00
Kharif,Assam,Maize,389382.00
Whole Year,Madhya Pradesh,Turmeric,388487.02
Kharif,Himachal Pradesh,Potato,388421.00
Whole Year,Assam,Sweet potato,386214.00
Rabi,Nagaland,Potato,385030.00
Kharif,Madhya Pradesh,Barley,384047.00
Kharif,Sikkim,Rice,383136.00
Kharif,Meghalaya,Mesta,381962.00
Kharif,Meghalaya,Maize,379724.00
Summer,Karnataka,Onion,378736.00
Kharif,Maharashtra,Sesamum,377766.00
Autumn,Odisha,Groundnut,376241.70
Whole Year,Maharashtra,Mango,370960.00
Whole Year,Chhattisgarh,Sugarcane,370776.00
Winter,Odisha,Urad,369635.90
Whole Year,Arunachal Pradesh,Sugarcane,368833.00
Rabi,Tamil Nadu,Jowar,368328.00
Whole Year,Rajasthan,Dry chillies,366881.00
Rabi,Chhattisgarh,Potato,366027.00
Kharif,Arunachal Pradesh,Small millets,364265.00
Kharif,Tamil Nadu,Horse-gram,364198.00
Kharif,Odisha,Groundnut,362835.00
Kharif,Andhra Pradesh,Castor seed,362476.00
Whole Year,Telangana,Mango,357116.00
Winter,Odisha,Ragi,352954.90
Rabi,Himachal Pradesh,Barley,352595.00
Whole Year,Telangana,Sunflower,352424.00
Rabi,Nagaland,Rapeseed &Mustard,351641.00
Kharif,Karnataka,Small millets,349189.10
Whole Year,Assam,Onion,348590.00
Rabi,Gujarat,Other Cereals & Millets,347000.00
Rabi,Bihar,Barley,346454.00
Rabi,Andhra Pradesh,Horse-gram,341465.00
Kharif,Andhra Pradesh,Small millets,339477.00
Whole Year,Karnataka,Cashewnut,339015.22
Summer,Uttarakhand,Rice,338933.00
Rabi,Assam,Urad,338637.00
Rabi,Bihar,Peas & beans (Pulses),338196.00
Kharif,Haryana,Arhar/Tur,338063.00
Whole Year,Nagaland,Potato,334650.00
Rabi,Rajasthan,Masoor,331783.00
Kharif,Uttar Pradesh,Other Kharif pulses,330090.00
Whole Year,West Bengal,Groundnut,326497.00
Whole Year,Tamil Nadu,Moong(Green Gram),326204.00
Kharif,Odisha,Ragi,318493.00
Whole Year,Madhya Pradesh,Sweet potato,317324.00
Rabi,Goa,Rice,316771.00
Whole Year,Andhra Pradesh,Onion,316617.00
Rabi,Chhattisgarh,Rapeseed &Mustard,313662.00
Summer,Gujarat,Onion,313600.00
Rabi,Jammu and Kashmir,Rapeseed &Mustard,313214.10
Kharif,Madhya Pradesh,Niger seed,311516.10
